English,German
"Yo, speak up, Berlin","Sag doch mal, Berlin"
Listen. Talk. Co-create,Hören. Reden. Mitgestalten
Discussed,Besprochen
Document the essence of your dialogue,Dokumentiere die Essenz deines Dialogs
Notes,Notizen
What is the dialogue partner’s interest?,Was ist das Interesse des Dialogpartners?
What makes a city worth living in for you?,Was macht für dich eine lebenswerte Stadt aus?
Record audio,Nimm Audio auf
skip,überspringen
back,Zurück
continue,Weiter
Select District,Bezirk auswählen
Housing / Building Transition,Wohnen/Bauwende
Transport,Verkehr
Costs,Kosten
Electric Car,Elektroauto
Bicycle,Fahrrad
Parking,Parken
Public Transport (ÖPNV),Öffentlicher Nahverkehr (ÖPNV)
"Health (Accidents, Air Quality)","Gesundheit (Unfälle, Luftqualität)"
,
Building Transition,Bauwende
Concrete,Beton
Waste,Abfall
Costs,Kosten
Rent,Miete
Existing Stock,Bestand
Community,Gemeinschaft
Quality of Life,Lebensqualität
Displacement,Verdrängung
Wood,Holz
,
Heating Transition,Wärmewende
Openness to Technology,Technologieoffenheit
Economically Unviable,Wirtschaftlich nicht tragfähig
Rent Increase,Mieterhöhung
Costs,Kosten
Monument Protection,Denkmalschutz
District Heating,Fernwärme
Old Building,Altbau
Home Ownership,Wohneigentum
,
Climate Adaptation,Klimaanpassung
Heat,Hitze
Heavy Rain,Starkregen
Trees,Bäume
,
Housing / Heat Transition,Wohnen/Wärmewende
,
Mobility,Mobilität
,
Climate Adaptation,Klimaanpassung
,
Other/Notes,Sonstiges/Notizen
,
Initiatives,Initiativen
Initiative Matching,Initiativen-Matching
Select Interest Areas,Interessensgebiete auswählen
,
Urban Gardening,Urban Gardening/Stadtgärtnern
"Community garden & community 
 sovereignity",Gartengemeinschaft & - eigenverantwortung
,
Repair Café,Repair Café
"Fix things together, reduce waste","Gemeinsam reparieren, Abfall reduzieren"
,
Climate Education,Klimabildung
Learn and teach climate action,Klimaschutz lernen und vermitteln
,
Policy Advocacy,Politische Interessenvertretung
"Influence local and regional 
 policies",Lokale und nationale Politik beeinflussen
,
Mutual Aid,Solidarische Hilfe
Community Support and solidarity,Nachbarschaftshilfe und Solidarität
,
Digital Inclusion,Digitale Inklusion
Bridge the digital divide,Digitale Kluft überbrücken
,
Data Consent,Dateneinwilligung
Stay In touch,In Kontakt bleiben
Stay up to date – connect with initiatives,Bleib auf dem Laufenden – verbinde dich mit Initiativen
,
Share Contact,Kontakt teilen
Which contact details would you like to share?,Welche Kontaktdaten möchtest du teilen?
First Name,Vorname
Last Name,Nachname
Telephone,Telefon
,
Stay Anonymous,Anonym bleiben
"Your privacy is protected. Dialogue data 
 will only be stored with your explicit consent.","Deine Privatsphäre ist geschützt. Es werden nur Dialogdaten
  mit ausdrücklicher Zustimmung gespeichert."
,
Your information remains confidential. Your contact details will only be used to keep in touch and inform you about local initiatives that may be of interest to you.,"Deine Angaben bleiben vertraulich und werden ausschließlich 
 dazu genutzt, dich über lokale Initiativen zu informieren, die dich 
 interessieren."
,
Our QR Code,Unser QR Code
,
Observer Reflection,Beobachter-Reflexion
Your Reflection,Deine Reflexion
What else did the dialogue show you …,Was hat dir der Dialog noch gezeigt
"Share your thoughts about this conversation – 
 what surprised you or what would you like 
 to remember?","Teile deine Gedanken zu diesem Gespräch – was hat dich 
 überrascht oder was möchtest du dir merken?"
,
"Resonance, essence, takeaway…","Resonanz, Essenz, Takeaway…"
… or make an audio recording,... oder mach eine Audioaufnahme
to connect with larger contexts,mit größeren Zusammenhängen zu verknüpfen
,
Observer Reflections Metrics,Beobachter-Reflexionsmetriken
Dialogue,Dialog
General Information,Allgemeine Infos
Dialogue Partners,Dialogpartner:innen
Duration (min),Dauer (Min.)
Single,Einzelperson
Family,Familie
Couple,Paar
Location,Standort
soon,soon
,
Summary,Zusammenfassung
,
Analytics Dashboard,Analyse-Dashboard
,
Total Dialogues,Gesamtanzahl Dialoge
Total Participants,Gesamtanzahl Teilnehmende
Avg. Duration (min),Durchschn. Dauer (Min.)
Top Discussed Topics,Meistdiskutierte Themen
Dialogues per District,Dialoge pro Bezirk
Top Interest Areas,Top-Interessensgebiete
Top Selected Issues,Meistgewählte Themen
,
Initiative Engagement,Initiativen-Beteiligung
Recommended,Empfohlen
Selected,Ausgewählt
Engagement Rate,Beteiligungsrate
Thank you very much,Vielen Dank!
"Your response has been recorded and will 
contribute to community insights.","Ihre Antwort wurde aufgezeichnet und wird
zu Erkenntnissen über die Gemeinschaft beitragen."
Next Dialogue,Nächster Dialog
